"user.self" "sys.self" "elapsed" "user.child" "sys.child"
115.268 10.484 251794.611 490419.884 244.336
114.836 9.468 256370.538 499660.596 295.488
74.224 7.004 187701.376 367200.956 241.84
192.088 15.396 276677.555 541643.684 271.6
120.376 10.508 236958.235 464666.36 249.26
88.568 7.668 222629.022 436079.876 259.876
84.372 7.588 186375.972 362427.66 233.48
92.892 8.88 196614.428 379657.372 206.248
82.988 7.912 193318.609 371723.268 238.596
99.468 8.44 215639.478 422582.304 204.196
75.02 6.644 179601.963 348284.992 200.064
86.468 8.128 189942.567 370992.776 218.416
81.176 7.028 191090.43 371988.324 210.096
116.128 10.128 235640.645 462432.544 264.276
87.332 7.8 194600.178 375739.724 211.468
72.068 6.812 165084.474 319958.368 180.788
99.808 11.464 206405.057 400847.972 156.744
267.084 20.432 374013.67 735440.312 246.972
126.276 12.396 225015.344 438024.28 180.628
101.408 10.556 181546.856 352458.62 157.804
79.4 7.552 191706.219 375053.812 142.76
98.204 9.256 208991.828 407895.796 149.7
81.452 7.972 184684.172 357960.524 149.692
81.056 9.108 176502.512 344008.408 144.496
280.936 22.652 365910.013 715633.352 251.204
161.212 13.456 264169.598 517017.948 191.608
99.448 10.02 205005.8 400226.476 184.604
115.88 11.472 201805.615 393857 164.188
114.828 12.568 226818.354 444322.436 169.86
160.404 13.88 296681.181 579018.612 232.432
92.736 9.144 221183.926 432828.56 182.472
86.624 9.048 221660.777 431263.292 157.736
81.504 8.952 189937.671 371835.64 146.232
98.056 10.9 234356.474 458117.048 168.864
74.596 8.012 188998.937 367369.332 142.66
91.376 10.98 193461.733 373580.728 164.488
132.68 12.264 254121.174 498106.552 185.876
115.628 11.2 228779.058 447800.504 182.776
177.308 16.468 281704.837 552085.244 231.152
103.36 10.488 203134.516 397005.456 170.372
130.116 11.984 250607.616 488122.068 167.928
148.848 15.112 270313.728 530288.76 194.488
69.132 7.02 174982.738 343415.904 125.608
76.5 9.008 183714.305 355866.12 132.996
224.068 19.572 331795.725 649913.264 242.572
149.804 14.808 278423.115 547566.74 201.848
90.796 8.768 199346.689 389820.636 147.824
107.56 11.064 202276.762 394904.672 148.016
113.684 10.208 239010.917 469424.42 191.516
160.16 12.688 264339.342 516852.168 183.956
119.144 11.312 227362.779 443904.796 174.544
125.308 13.556 229211.317 446594.76 182.252
114.136 12.204 221176.406 428561.996 167.192
90.588 10 210706.023 408036.1 162.692
92.296 9.58 200946.224 392973.876 155.328
71.904 8.02 179087.302 349313.972 129.728
93.744 11.924 207654.047 404455.436 142.492
100.952 13.32 219282.198 426034.132 170.616
78.488 10.696 177198.742 346913.26 133.324
70.736 9.828 152564.124 299161.2 114.96
69.104 9.98 166613.669 323784.368 115.92
79.868 13.076 183159.098 357961.428 126.628
68.404 13.02 148454.628 288455.324 116.612
52.496 10.216 135420.67 262107.84 99.964
