"user.self" "sys.self" "elapsed" "user.child" "sys.child"
56.9 5.34 147916.487 287791.828 113.088
73.472 6.7 176874.815 346140.108 130.64
55.588 5.824 143783.175 280093.54 107.864
63.788 6.344 176657.342 343426.912 120.212
98.1 9.444 222839.331 436292.456 148.212
84.544 7.256 191965.181 376720.644 140.244
104.884 9.328 203779.841 399874.332 142.388
60.52 6.764 153217.275 299190.76 111.82
76.368 6.932 172492.383 336383.716 118.084
101.92 8.512 216742.442 424431.968 145.308
104.044 8.748 189054.471 369334.912 135.828
122.076 10.808 199916.72 390638.836 152.092
137.032 11.98 245046.334 478580.228 166.004
100.172 8.636 205188.169 399316.92 138.936
89.772 7.816 186533.503 363958.416 129.292
117.144 10.376 232322.808 452306.052 150.756
91.508 7.924 193043.319 378691.536 133.108
107.144 8.792 224952.565 440205.564 165.448
178.848 15.172 249532.454 484976.784 197.932
82.132 8.104 161580.568 314444.468 121.756
109.24 10.036 212430.49 414062.472 152.928
70.28 6.716 175316.507 341280.02 113.704
59.892 5.064 145598.232 283908.652 108.924
75.456 7.488 165383.508 324715.772 110.532
87.156 7.42 193684.537 377009.436 140.348
73.76 7.32 180057.02 350596.676 120.792
67.308 7.012 154239.196 300937.048 138.8
98.128 8.82 180195.278 351776.572 128.916
113.224 9.54 222275.807 434005.94 150.008
128.812 11.788 225063.522 437826.656 175.808
123.808 11.456 212441.635 415700.356 153.124
118.796 11.176 201074.707 394893.816 146.224
192.408 14.364 280909.102 550274.24 191.624
165.364 12.856 275141.136 536007.408 183.18
60.264 5.972 156377.429 303732.644 110.124
165.76 12.932 228935.918 449423.844 161.604
57.744 5.244 155419.971 303114.952 117.192
89.424 8.788 190444.044 373311.848 129.832
81.372 7.928 167545.094 326732.196 121.416
55.384 5.756 139783.875 272003.264 110.26
87.396 7.764 188525.694 367454.544 160.196
83.124 6.548 196248.649 383988.464 151.996
86.464 8.464 175447.948 342125.344 166.32
79.916 8.072 166066.536 322294.456 125.692
72.064 7.376 176387.501 344801.092 126.052
72.332 7.308 174446.362 338581.152 143.472
53.26 5.412 145378.744 279275.888 100.08
57.888 6.192 139555.261 270361.216 103.612
75.7 6.6 174639.044 340522.328 127.952
114.608 10.608 225752.972 442942.228 154.496
83.556 7.556 173177.58 339270.304 145.336
68.772 7.784 152706.298 299041.072 112.932
118.288 11.204 211437.577 413809.348 143.224
65.248 6.44 163668.903 320196.292 126.808
50.476 5.24 139489.762 271449.796 107.704
53.952 5.296 134037.481 261947.936 105.248
87.236 10.408 184699.735 361108.436 154.196
80.18 7.304 178919.192 349327.272 142.808
74.084 7.676 147205.921 287538.424 113.048
81.884 8.696 160847.438 314529.72 120.064
81.124 8.5 173354.952 339041.12 126.092
77.316 8.128 174023.734 339097.612 123.644
88.476 9.492 170128.433 330695.024 145.564
60.596 7.32 143943.983 277349.332 106.44
