"user.self" "sys.self" "elapsed" "user.child" "sys.child"
232.34 9.372 406811.025 719445.628 15229.804
225.512 9.368 391313.661 698736.428 15183.948
118.948 5.852 226724.021 420783.02 11134.096
134.256 6.328 237051.025 442378.22 13731.616
238.344 9.624 406165.316 725368.74 15751.764
194.308 7.576 347416.285 627394.084 14602.552
96.996 4.712 192047.963 359367.54 9293.52
100.372 5.552 199615.246 372480.696 11171.752
489.304 14.888 581076.499 1041695.156 23679.484
321.956 10.804 449857.005 809796.816 18635.288
116.132 5.312 217029.144 401459.704 10079.24
190.584 8.22 303626.274 571827.192 18542.668
445.092 12.776 522229.409 932680.352 21568.14
146.18 6.384 316884.795 579092.728 12572.34
272.64 9.716 348875.544 639666.412 18303.772
93.044 4.824 190003.406 355453.548 10629.384
168.964 8.772 373151.584 651796.18 13316.332
173.636 8.856 368818.87 650397.604 13903.024
249.536 10.312 355781.697 642094.648 18504.42
195.728 8.98 305038.113 544500.708 17898.62
257 11.024 434026.964 779516.876 17786.06
191.196 8.808 350181.354 620528.944 14307.988
129.048 6.924 227435.805 402687.96 11222.184
205.244 9.164 308603.27 563996.972 18679.336
289.824 11.164 430981.61 784844.5 18267.256
265.056 11.584 411606.971 752484.652 17088.604
143.572 7.968 258608.824 480442.728 13473.008
104.248 6.104 197157.544 362603.952 11135.16
205.668 9.964 387226.479 702064.796 15526.316
180.044 8.864 343016.018 626189.848 13680.852
110.612 6.276 212313.766 394738.496 10808.236
384.752 13.668 459805.517 859328.008 29237.976
203.7 9.008 384292.622 694756.088 14854.976
151.996 7.152 296634.939 542517.676 12504.776
235.16 10.136 357145.722 663172.692 18454.228
200.404 9.688 311986.48 579429.628 19236.744
278.44 10.72 386391.808 711540.756 17261.596
137.384 6.848 283220.603 517545.684 11455.052
101.504 5.548 206441.245 379248.3 10036.144
212.52 9.608 315851.818 589100.788 19448.6
235.536 10.864 414584.464 749086.536 15614.704
216.936 9.048 351927.083 644630.584 15363.536
123.224 6.612 224235.786 411229.816 11005.176
118.964 6.72 228699.637 419922.096 13304.284
201.544 7.436 317693.758 685850.288 15166.332
242.508 8.808 334675.557 733357.08 17032.504
180.684 8.336 268963.895 500251.72 13958.868
130.656 7.064 226407.836 421340.564 13299.868
143.128 5.288 276368.05 586786.692 12316.58
151.356 7.024 308410.839 561991.056 12608.584
113.548 4.428 200844.652 420967.88 11265.728
117.576 6.42 224265.23 413552.188 13029.6
208.348 7.364 318775.113 689359.728 15536.84
248.22 8.42 316284.811 696627.288 17707.36
141.676 5.728 233559.386 497634.48 13547.02
107.64 6.456 217463.373 403194.452 12669.8
164.072 5.948 300301.595 632632.848 12792.652
246.928 8.056 321181.628 699044.028 16154.8
221.704 7.216 295582.792 644996.06 17347.6
110.696 4.516 188526.566 395079.856 11982.22
170.5 6.412 304331.152 644484.068 13255
172.352 6.404 297744.92 641076.516 14421.256
94.768 3.996 182677.071 375434.048 9409.956
161.092 5.896 245727.577 526034.78 16860.444
