"user.self" "sys.self" "elapsed" "user.child" "sys.child"
185.516 6.948 359192.035 665814.836 13475.56
46.056 2.16 99426.697 191752.972 4491.508
45.04 2.02 86072.214 167402.232 4842.94
215.18 7.756 323650.106 613507.628 20116.136
173.012 6.532 346398.648 645784.764 13345.644
287.288 8.856 417865.563 791319.612 18315.012
28.088 1.504 68257.842 131820.48 3492.484
55.672 2.156 86102.557 168014.148 5603.36
407.764 11.728 545354.422 1029890.036 23709.432
204.284 7.208 346492.386 649089.652 15021.424
46.1 2 80917.382 156483.728 4408.056
61.54 2.6 94744.075 185215.824 6344.6
241.32 8.556 392854.733 740762.92 17014.376
202.78 6.824 354186.744 661570.352 14342.704
109.292 4.24 203006.008 398661.672 10578.14
136.304 5.412 238516.034 456581.936 14394.228
152.312 5.832 289120.735 536870.612 11779.88
165.684 6.384 333363.129 619782.984 13178.736
126.688 4.992 209551.895 412251.144 11053.028
104.18 4.476 208778.638 409095.508 12426.856
242.788 8.264 413048.861 769569.228 16403.92
149.876 5.84 305547.597 566713.7 11997.568
172.064 7.592 256521.739 484542.612 14089.048
121.88 6.44 230470.824 431957.748 13726.248
215.804 8.288 361907.989 678851.64 15104.56
394.292 12.44 428262.962 827087.432 21996.84
133.988 6.672 239144.103 467940.528 13132.04
120.58 5.42 218406.626 423792.12 13335.336
251.572 9.856 412682.11 784841.024 17243.764
207.964 9.104 331101.144 637300.524 15575.464
191.488 8.736 301507.16 583823.588 15741.412
94.36 4.992 184704.16 357544.22 10892.456
389.34 12.884 482692.975 924363.076 20961.056
182.784 7.472 319600.734 612906.004 14061.2
332.552 11.316 381084.442 741929.488 21439.872
131.644 6.704 221934.939 428938.604 13466.2
274.244 10.288 390397.647 751421.72 17432.332
171.356 7.652 322011.237 613046.236 13660.156
161.092 7.012 247871.326 481412.124 13564.576
254.376 9.496 321141.562 626406.172 20858.844
179.22 7.376 342260.601 642911.408 12895.808
201.26 8.36 329457.865 632613.132 14427.14
118.784 5.596 224453.966 434549.044 11724.524
120.584 6.064 215895.977 415648.404 12976.272
322.512 11.744 435884.812 865113.52 20722.172
232.412 9.224 373181.523 718944.64 15964.48
150.54 6.428 244559.39 475138.212 13021.52
188.868 7.908 272024.319 529079.808 17029.588
278.2 10.576 396278.681 785631.576 18069.884
114.004 5.96 237817.247 456446.284 10570.796
133.764 6.964 242289.591 467636.188 12570.84
136.608 6.548 218360.022 424389.68 13340.068
113.38 5.172 209093.693 475565.8 9993.668
207.996 8.224 314099.325 634070.528 15186.076
155.076 7.228 256702.283 509026.176 13712.836
113.644 6.016 218547.954 426638.16 13491.936
205.044 9.144 258688.423 606958.432 14682.32
161.124 7.892 259431.776 537649.744 13538.024
210.164 7.984 223555.656 542313.04 16432.204
129.292 5.468 163743.408 395373.016 13052.524
133.644 5.972 214740.812 491324.664 10914.98
230.568 9.024 259146.879 602201.492 14347.916
85.76 4.236 137656.15 321553.328 8876.336
197.052 7.452 220600.057 530228.596 18045.392
