"user.self" "sys.self" "elapsed" "user.child" "sys.child"
53.9 11.892 130807.397 461591.516 254.532
54.208 11.736 122527.202 427689.764 262.832
63.216 13.5 134718.868 481641.264 271.784
54.42 12.204 113441.741 404610.392 253.56
74.992 16.264 144312.068 531077.684 343.636
61.992 12.416 129207.382 478256.672 312.268
52.148 12.58 118875.865 420930.152 266.208
61.468 13.416 122337.836 441340.288 292.46
65.616 14.32 137566.347 488978.332 327.816
56.876 12.548 125760.882 446017.024 304.588
51.2239999999999 12.776 116014.889 420201.424 295.064
64.876 14.036 124193.048 452244.996 309
53.104 12.216 129361.936 461870.536 278.452
260.612 32.192 243531.829 901582.36 574.468
59.624 14.896 121585.45 441051.572 300.508
48.436 11.484 109289.385 400912.204 260.884
103.232 21.42 172295.911 618819.504 388.936
71.1320000000001 17.152 142804.663 510982.604 335.12
56.708 15.052 123770.138 444096.444 289.168
52.82 12.996 113268.806 418102.74 274.152
50.5599999999999 14.22 117292.829 432981.604 273.148
68.3520000000001 18.012 131914.481 475008.236 320.772
68.4400000000001 17.384 136627.701 472147.032 287.036
57.068 15.108 119349.473 425456.036 278.164
80.816 20.532 152135.22 552352.256 346.892
49.136 13.008 117613.799 419506.172 271.356
81.352 16.96 141198.324 513838.888 338.008
65.244 15.892 125940.75 437132.932 305.232
91.564 17.388 157568.164 586222.768 364.58
63.728 16.688 139011.52 491045.856 321.976
55.3960000000001 13.684 122499.602 435271.8 251.992
52.376 15.52 118298.934 400888.156 280.332
90.164 18.26 164782.756 578348.564 353.26
58.736 15.044 124936.199 461191.152 303.628
50.1080000000001 11.604 119218.734 422777.976 270.244
84.816 20.112 144755.687 535455.604 308.736
70.38 15.348 138000.871 504773.552 325.088
57.852 14.48 134219.466 470574.476 293.124
55.8439999999999 13.388 120126.126 429340.98 259.536
58.9960000000001 17.504 118921.579 435247.312 291.224
67.244 15.36 156872.99 500981.808 301.568
57.316 14.996 146439.621 465631.268 275.264
57.324 14.888 147866.986 460105.272 280.656
77.324 19.716 146668.977 479612.876 349.976
53.6840000000001 15.32 123641.554 452876.252 288.672
51.212 12.072 125013.263 426006.948 284.332
50.764 14.624 116109.857 430710.124 236.42
57.868 16.364 121772.383 431996.476 312.788
84.292 19.056 161826.858 579685.564 312.384
64.332 17.012 135171.09 479386.292 315.292
50.3680000000001 11.804 118090.576 430464.544 242.816
71.104 13.456 129315.804 476779.824 318.832
65.7520000000001 15.36 137940.543 480355.188 320.46
57.504 16.268 127915.783 465952.468 302.232
53.556 14.856 117902.449 424823.704 282.42
49.992 14.292 116220.985 415564.588 274.016
58.144 14.504 129149.263 470241.96 310.692
50.092 15.084 119386.336 423097.304 278.848
64.88 17.596 127979.174 449490.36 305.852
76.028 17.82 136648.009 481161.308 323.348
66.648 18.536 143339.703 527215.272 269.176
52.884 16.336 118976.179 441704.78 287.828
59.8679999999999 14.94 126378.89 452755.236 290.204
52.648 12.376 113770.655 410121.864 263.684
