"m" "tau" "theta" "rho" "s" "q"
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
1 0.75 1 1 0.05 10
1 0.75 1 1 0.1 10
1 0.75 1 1 0.25 10
1 0.75 1 1 0.5 10
