"user.self" "sys.self" "elapsed" "user.child" "sys.child"
407.008 30.524 499668.616 1710667.884 35890.736
180.704 18.724 297236.547 988975.36 22128.284
174.324 18.048 293205.764 976058.368 25305.928
108.732 13.86 212388.586 684381.74 21104.756
126.804 16.76 287180.74 930737.308 19012.052
293.864 27.62 418716.044 1437095.788 32269.056
98.216 14.792 213186.135 683299.884 15667.84
329.28 26.776 360191.143 1242554.228 40855.964
217.52 19.924 344011.919 1136127.552 22865.304
226.428 21.572 350810.186 1170249.54 26091.004
120.832 13.968 243359.405 785691.204 19642.384
205.52 22.536 297513.545 988658.424 31627.196
248.512 21.216 371895.874 1303785.956 27645.248
242.628 21.172 342032.435 1188927.352 26666.332
94.552 10.948 227628.39 721085.12 16829.096
136.828 14.932 246541.178 817955.72 24438.98
142.032 15.356 300016.457 1019960.104 19028.952
167.944 17.152 309825.108 1049212.996 22201.844
95.58 13.68 214989.601 700844.776 16756.216
171.948 19.072 276518.745 922966.948 28472.248
176.824 17.568 312733.39 1075473.748 22006.252
128.576 16.872 266729.507 876762.952 18138.104
206.764 19.412 306836.049 1039516.34 27865.184
167.716 16.48 263978.194 904116.112 28329.284
128.788 14.596 282145.403 922501.908 16741.352
140.976 14.828 281869.641 951245.572 20509.424
93.024 10.464 212515.49 687692.056 15604.58
102.736 12.34 211330.335 679838.816 20214.452
122.78 15.268 282502.878 945964.34 17600.348
159.792 18.02 301906.699 992362.492 21399.34
91.796 12.5 209114.762 680925.076 15467.088
111.484 12.588 220241.51 723552.216 21984.344
141.34 15.096 278256.243 945671.996 18214.356
118.008 13.432 255455.043 856027.66 17069.068
270 19.536 336351.795 1190653.88 33251.12
142.104 17.24 264761.996 884907.184 25119.964
166.068 17.572 305918.782 950720.24 19727.996
128.2 15.972 297370.021 917257.744 18611.252
132.52 13.34 248443.936 806418.036 20203.216
219.604 23.052 331518.065 1064258.08 32642.568
108.184 16.012 257357.289 816095.34 16577.644
179.728 18.852 309671.578 1017976.784 23012.58
204.46 22.696 303591.449 1007461.264 27477.144
189.044 20.1 293288.336 941269.936 30459.6
124.816 17.508 262543.741 859008.1 17595.324
117.588 15.776 265194.551 829613.284 18481.364
104.988 13.236 238235.248 753118.428 18489.616
188.376 23.676 296669.563 951584.08 30051.852
208.016 21.48 340226.469 1154615.364 24227.556
178.624 20.096 326192.035 1081026.02 23496.916
102.536 12.648 230729.028 752396.62 19077.112
114.132 15.5 230847.756 736600.268 21955.336
104.876 14.552 255142.516 799748.824 16597.896
183.832 18.544 321111.371 1071893.244 24177.316
131.916 17.144 259229.773 849004.872 20296.34
90.94 11.352 219445.606 695789.548 18689.184
157.596 18.272 301091.771 1030842.508 19842.044
90.604 14.204 221554.869 727472.416 15151.572
203.92 22.072 300263.188 1065872.844 29053.548
108.852 12.94 207828.893 680819.972 21089.972
103.116 13.1 239131.809 816681.828 15978.264
141.424 13.944 256311.963 901805.748 20613.908
229.192 21.424 301214.213 1108642.076 31147.096
112.08 16.6 227652.831 764890.872 22540.652
