"user.self" "sys.self" "elapsed" "user.child" "sys.child"
165.176 16.904 298313.673 1050389.12 21899.176
165.784 17.228 294731.463 1031089.624 22632.696
102.228 13.056 220149.812 724858.76 17467.168
121.7 14.592 242401.511 799673.008 22898.008
148.932 16.796 296755.463 1010018.78 20408.004
129.652 15.944 265446.73 906893.848 18884.26
123.012 16.22 247790.5 824137.168 20410.316
188.308 20.072 273324.196 941892.732 30324.608
151.444 16.8 322731.245 1037058.508 20520.756
128.38 14.496 282569.286 901297.532 19919.384
138.888 15.496 272023.013 901111.424 22791.5
127.444 17.34 236502.748 756845.432 23986.924
196.276 20.548 334148.93 1092329.864 23391.212
127.208 15.844 286545.821 894879.796 19868.04
94.912 12.408 225518.608 697043.764 15842.108
208.116 22.028 297675.037 964759.468 32544.72
121.32 16.684 264738.134 858065.656 17411.2
358.124 27.828 408397.861 1483637.02 34162.36
116.192 15.404 237225.454 796761.84 20200.332
122.16 17.836 234849.673 797476.836 23984.772
138 18.196 266078.19 906491.192 19565.876
116.132 15.08 289711.711 974001.964 18153.376
96.052 11.388 230462.711 760772.296 17367.56
142.6 16.424 240491.405 805009.412 26065.172
122.66 14.448 261468.43 907358.904 16859.48
165.944 18.872 276472.945 967164.564 21933.672
110.34 14.22 224400.359 766711.356 19269.608
86.416 11.564 209884.517 694840.464 18747.692
98.696 12.316 232276.685 784288.892 15394.388
252.3 21.324 361370.122 1274692.604 27897.624
94.68 10.304 214866.046 733756.228 17047.008
135.004 16.76 233394.176 801244.88 25196.776
129.628 14.736 259548.099 872263.108 16829.828
121.848 13.748 262285.465 900069.956 17407.036
93.38 11.24 218594.891 746782.712 15973.544
198.968 21.668 280388.528 992582.236 32183.488
123.956 15.596 270137.321 930887.864 18151.888
128.572 15.916 265932.863 915977.04 18674.276
86.292 11.852 213248.126 714465.984 16129.348
307.192 24.592 355297.723 1203960.988 41013.716
69.948 5.18 187324.804 481408.672 5847.42
121.648 15.756 269918.613 859576.668 18572.14
92.504 11.36 208931.736 708561.736 16279.676
134.664 17.372 247308.97 785430.88 25126.336
46.728 3.692 155839.514 373041.672 4680.492
50.24 3.488 161616.317 406023.148 5478.124
122.636 7.34 200431.52 542918.684 9221.728
83.184 5.268 171623.711 435863.724 8795.46
44.104 3.912 158974.068 399103.936 4536.408
42.724 3.46 155039.357 369548.848 4511.8
46.016 3.452 136608.471 330051.16 5237.348
52.452 5.532 129593.917 363039.812 6858.588
69.512 5.624 161681.445 459313.74 5850.856
47.408 4.9 134446.543 378964.592 4748.544
59.676 5.728 143722.513 405774.132 6750.168
45.86 5.12 123936.985 330975.128 6434.38
82.032 6.316 176476.427 521185.024 6843.484
46.22 5.22 148397.796 409081.884 5104.42
62.572 6.168 144078.289 413808.544 6544.88
32.756 4.084 96899.926 280770.348 5079.956
70.388 6.096 137639.349 473970.056 6425.076
40.572 4.564 106630.236 347208.12 4359.288
47.54 4.96 100620.116 342276.92 5526.9
36.448 4.432 89940.181 301294.204 5566.396
