"user.self" "sys.self" "elapsed" "user.child" "sys.child"
82.736 7.92 223249.22 407897.144 187.788
77.056 7.324 212569.038 391206.436 185.404
76.168 7.196 229231.761 420716.96 202.224
58.168 6.224 200894.091 364479.328 179.448
70.364 7.116 203343.027 371628.692 172.664
107.18 9.524 246721.265 457537.504 233.404
170.016 14.792 409639.3 637312.864 299.476
82.14 8.288 255165.211 471436.836 217.544
96.12 9.12 233772.116 430964.14 205.856
95.02 9.344 246115.983 454158.304 203.244
72.572 7.016 197330.577 356226.256 183.536
82.44 7.952 240017.913 445982.096 200.004
97.128 9.284 231980.081 428932.548 214.34
92.228 8.676 242355.829 449299.564 217.368
106.044 10.052 296679.619 522177.596 260.44
70.444 6.816 241666.072 445220.976 195.148
171.68 15.308 488461.758 554191.972 274.34
128.628 10.42 427166.21 489746.528 204.864
122.4 10.004 392032.099 449721.052 229.044
72.26 6.132 302438.277 347554.108 173.464
136.692 10.984 436216.799 475332.404 206.48
112.14 8.672 387415.336 421887.312 195.248
101.464 8.024 396225.592 431153.224 225.376
91.052 6.484 403473.755 434085.112 197.496
143.324 11.348 433379.003 461065.812 212.784
124.94 10.132 397863.206 421879.016 206.48
137.996 11.516 544284.911 570849.28 255.528
112.624 8.692 481131.537 502518.392 239.592
125.4 9.108 417534.452 440222.08 208.784
83.976 6.932 350821.463 363211.572 184.448
144.88 11.496 504690.18 526109.564 251.264
138.992 11.08 492717.616 603928.124 294.572
132.596 11.396 376429.564 476769.032 219.396
112.228 10.384 329684.805 459122.076 240.184
87.08 7.616 317929.102 446837.26 216.336
96.492 8.636 350177.567 519919.308 253.78
100.2 9.78 296980.186 426872.756 188.188
89.336 7.96 292349.263 415315.032 181.96
107.868 8.836 315048.331 470697.2 274.324
132.344 12.488 428508.306 652973.704 265.376
114.432 11.344 306820.719 475778.224 220.448
114.824 11.572 289212.564 444618.852 209.34
63.552 6.496 240966.266 358192.704 154.152
72.54 7.804 254910.442 397423.136 203.716
74.956 7.724 221338.132 369558.756 180.228
102.86 10.772 248504.195 454902.68 228.668
100.452 10.908 252728.852 457401.02 219.568
71.588 8.564 244213.139 392102.64 203.116
128.788 14.068 313702.225 480038.648 281.948
71.94 6.336 238726.692 371026.952 179.564
97.68 10.188 294355.127 445680.868 297.656
108.812 11.428 338617.751 522626.956 261.412
73.764 8.12 218261.622 338356.24 170.908
95.98 9.724 289405.633 433259.304 218.112
110.132 13.316 348200.336 542408.112 237.5
108.94 11.104 306680.127 460115.244 278.768
100.304 10.064 288455.825 425998.696 207.348
83.952 8.612 258089.692 375572.932 201.172
88.672 9.724 288953.504 423049.128 220.888
63.048 6.756 259788.798 371160.928 180.536
69.008 9.068 233985.416 336613.6 181.184
71.216 9.812 224480.01 329769.96 182.936
62.032 10.144 230928.734 350321.572 162.844
46.876 10.348 205219.148 338991.212 144.224
