"user.self" "sys.self" "elapsed" "user.child" "sys.child"
139.08 15.108 407454.667 490071.144 248.212
115.504 12.668 386879.41 447434.732 226.972
122.256 13.448 416428.555 504884.192 246.412
70.716 7.984 311466.273 311210.332 186.876
90.952 9.268 330654.116 344076.552 204.028
103.572 11.352 354669.064 391515.408 219.612
90.224 9.88 340271.872 366206.808 218.504
120.836 13.024 441587.696 551200.4 264.492
109.396 12.044 367793.606 414026.14 223.316
141.976 14.208 406247.881 484871.984 243.552
102.22 11.188 353896.62 390138.884 209.452
93.1 10.768 377002.347 430131.428 209.56
235.736 21.66 490474.335 641306.016 313.852
86.048 9.824 348342.461 377382.632 191.64
84.872 9.304 330642.132 348618.084 197.948
98.476 10.632 386409.039 447029.948 219.312
93.636 9.492 232841.287 425798.96 198.612
74.284 9.02 215250.498 395635 190.592
64.536 7.692 196600.867 359753.76 175.9
77.592 8.852 210743.464 386496.908 186.388
77.704 8.64 207110.742 379372.384 173.3
95.044 9.424 230346.246 424283.644 197.74
77.844 8.384 243910.021 447381.596 224.712
60.872 7.636 214880.73 395706.408 183.348
96.208 9.904 229794.359 419715.676 199.564
82.392 8.94 224784.673 410365.536 184.352
88.488 8.84 237539.742 438106.956 205.84
137.14 13.82 321473.771 589179.436 302.656
76.592 7.656 210477.175 384664.76 183.12
115.072 12.784 267674.717 485378.436 248.48
102.724 12.108 271290.776 497725.172 270.872
53 7.116 170781.471 314048.684 178.364
87.132 9.164 219429.115 403978.596 181.5
100.204 10.94 245812.465 452760.488 228.528
94.148 11.168 248012.183 456166.224 216.356
94.624 11.048 301727.056 556390.552 223.556
103.408 11.724 247430.88 451938.64 216.94
154.132 16.356 316023.887 582986.004 309.812
87.564 9.96 226148.584 416770.48 217.348
125.152 13.012 402161.917 739121.468 269.448
96.06 10.532 235068.606 431952.948 221.236
115.808 12.54 284928.426 523481.968 217.228
90.352 9.652 256903.077 470318.104 208.304
64.296 7.82 221504.607 403255.096 194.048
81.332 10.684 213708.143 388712.748 184.628
70.336 8.24 206549.59 380145.112 196.904
115.232 11.888 276668.829 502937.24 232.308
62.972 8.716 189689.664 347473.732 248.372
67.864 6.552 190628.158 350511.612 154.044
104.264 11.888 252892.117 465079.4 201.344
125.428 14.04 297825.804 557262.164 237.064
74.668 8.252 231583.29 427803.456 223.252
103.644 10.332 240104.538 444144.396 221.888
90.38 10.36 230428.304 429158.72 204.04
99.448 11.692 241789.635 450350.864 239.148
84.348 10.992 256737.887 482510.892 218.088
121.244 15.06 249427.601 473154.364 211.064
63.06 7.476 194208.566 360325.276 175.496
66.24 9.54 205590.513 385240.424 215.74
63.016 8.864 188946.86 353107.36 193.028
68.14 9.22 194983.254 366230.652 168.256
67.72 10.092 199262.513 376124.572 183.328
78.812 13.716 230379.576 442364.764 238.216
55.792 10.032 196691.284 381273.404 159.228
