"m" "tau" "theta" "rho" "s"
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
1 0.75 1 1 0.05
1 0.75 1 1 0.1
1 0.75 1 1 0.25
1 0.75 1 1 0.5
