"user.self" "sys.self" "elapsed" "user.child" "sys.child"
29.096 1.656 75304.893 138606.584 3178.484
46.46 2.2 89285.453 164420.56 4021.228
65.552 2.388 98847.993 183032.692 5489.056
65.24 2.472 100826.789 185893.464 6565.252
30.904 1.372 71410.324 132232.36 3196.736
47.74 1.936 86763.66 159482.576 4028.876
52.104 2.288 89521.079 165505.96 4745.616
37.844 1.82 87386.416 160141.408 5303.252
47.936 2.26 91381.409 166878.336 3986.784
37.744 1.672 82569.352 151981.48 3701.752
45.628 1.836 87766.136 161839.64 4471.948
37.808 1.796 80527.006 148856.784 5012.3
27.292 1.604 71132.878 127699.92 3020.768
67.056 2.856 109182.164 196415.016 5064.7
33.148 1.844 75713.216 136260.972 3880.764
48.716 2.284 88979.424 160594.416 5556.18
36.808 2.008 83942.222 150709.48 3582.424
45.424 2.176 95671.313 171195.96 4076.416
30.744 1.8 72185.673 130667.084 3678.984
150.412 4.388 142678.654 261174.088 9547.084
52.156 2.568 113912.432 204368.972 4404.22
29.092 1.676 78476.675 141028.804 3381.84
40.248 2.124 83907.95 150719.052 4357.788
25.652 1.624 66317.906 118629.084 3870.868
65.52 2.8 99058.901 179827.12 4603.228
32.848 1.748 73735.664 135398.676 3423.86
36.792 1.868 73639.894 135336.832 4033.908
32.48 1.9 76229.897 139592.704 4736.244
88.884 3.392 134282.304 247720.284 5813.744
33.7 2.016 72626.185 133811.752 3383.596
108.64 3.096 136242.516 253803.452 7368.736
33.12 1.964 78452.598 143830.328 4750.58
42.904 2.24 89729.943 165209.408 3737.716
35.948 1.888 79104.815 146543.752 3602.884
26.952 1.616 69175.526 128903.488 3541.536
32.72 1.932 73052.657 135567.108 4626.908
38.936 2.044 82323.25 154578.616 3697.512
24.516 1.5 63985.48 118996.276 2880.196
29.176 1.808 67886.673 127126.188 3551.784
29.688 1.828 65210.642 121294.24 4045.776
26.748 1.712 66663.767 124167.472 3016.084
30.784 1.864 72050.954 136763.26 3279.856
50.156 2.416 85508.255 163431.46 4900.448
84 3.16 107066.489 204832.972 7177.728
49.86 2.492 84401.03 161149.512 4058.516
44.62 2.244 76278.116 146932.164 3814.892
48.576 2.612 78338.461 151582.264 4568.216
42.408 2.152 82228.645 157974.828 5420.44
27.744 1.688 73885.411 140117.508 3091.692
39.452 2.044 77412.636 149316.628 3787.756
35.012 2.152 70139.032 135169.636 3950.712
92.024 3.264 127161.197 210681.868 7520.452
57.492 2.64 112270.053 175576.692 4257.324
26.488 1.556 61018.4019999999 117686.22 3033.944
25.492 1.92 79178.791 113583.36 3256.588
41.316 2.432 90572.387 142820.504 4856.756
46.812 2.64 110414.111 194702.552 4227.792
37.188 2.332 91546.575 155332.276 3748.044
36.616 2.316 86067.223 142967.756 4057.8
86.172 3.184 134162.649 200300.78 7116.444
29.776 2.132 84047.359 136966.224 3141.408
44.5 2.176 95841.701 148527.84 3865.896
45.136 2.516 92252.224 161833.512 4589.412
47.356 2.536 86421.864 152561.848 5228.152
