"user.self" "sys.self" "elapsed" "user.child" "sys.child"
138.764 6.016 193681.517 354080.072 7224.684
70.544 4.072 143402.936 259702.5 5043.552
63.516 3.808 129357.734 235662.908 5245.62
91.644 5.076 160452.189 293545.068 7381.28
82.616 4.548 160241.896 289034.084 5385.332
80.948 4.528 148309.51 269164.196 5320.968
71.328 4.14 141649.366 258797.416 5822.408
79.88 4.476 152876.069 279914.604 6621.524
342.292 8.94 305284.401 555448.64 11744.632
66.692 3.852 137596.974 250966.292 5033.588
61.204 3.928 126745.124 231685.856 5347.704
92.892 4.996 153520.171 282307.288 7292.224
123.38 5.672 209623.357 377554.688 7146.66
117.08 5.66 179814.811 328136.192 7020.952
115.144 5.264 169090.564 310951.184 7638.452
75.12 4.112 144408.032 260808.768 6322.932
85.404 4.648 165455.502 298635.668 5735.384
79.636 4.428 162719.334 294835.768 5761.624
101.512 4.796 166673.616 302312.376 7134.264
127.892 5.672 184651.211 333824.428 8748.404
118.576 5.432 199598.42 355431.972 6883.668
63.864 3.556 130906.596 236057.96 4702.676
86.236 4.628 153315.381 272448.616 6445.956
204.088 7.792 229600.861 415985.948 11475.24
93.3 5.128 191262.425 336742.94 6164.392
68.28 4.1 139146.825 246523.932 5038.796
115.032 5.316 181556.541 325565.016 7610.892
78.868 4.76 144646.327 258666.088 6867.524
81.38 4.256 157157.718 281298.46 5323.008
77.436 4.216 141094.891 255579.04 5365.272
77.368 4.148 149063.797 271073.804 6254.116
74.696 4.392 144441.79 264349.836 6579.108
117.356 5.4 208445.146 374122.952 6990.712
103.808 4.88 172430.999 313637.18 6630.952
70.452 4.008 146261.53 264394.256 6193.04
85.936 4.644 154026.009 280533.872 7035.296
80.748 4.468 162974.221 293004.788 5441.664
79.088 4.432 146905.714 266501.72 5498.22
62.976 3.608 127290.561 229795.66 5332.4
126.232 5.664 180119.764 327575.068 8528.212
79.3 4.344 146450.63 264912.196 5244.924
58.504 3.5 129127.133 234844.624 4693.384
234.512 7.696 239768.246 439535.584 11095.66
67.528 3.948 134193.442 244153.08 5956.164
96.28 4.668 162542.851 294325.616 5874.272
218.636 6.892 244181.168 445221.024 9519.028
80.64 4.308 149523.429 272845.568 6334.64
69.64 4.156 142135.77 253992.42 6340.62
170.788 6.856 226026.41 392995.288 8186.924
76.58 4.348 174125.288 296785.656 5764.456
64.392 3.876 134173.33 241634.628 5629.468
147.3 5.808 213914.109 372315.3 9238.612
132.404 5.704 214261.72 366389.724 7181.128
148.5 6.14 214300.482 377085.74 8040.168
102.88 4.808 179262.25 307517.596 7239.8
90.72 4.776 167430.923 288656.784 7316.496
65.896 3.844 149790.589 249331.14 4669.048
66.976 3.776 142249.555 254332.268 5107.588
60.004 3.836 121519.512 227480.092 5209.9
66.944 4.22 115684.301 232921.5 6045.1
101.488 5.632 158363.274 329176.608 6166.584
58.052 4.028 110449.094 236464.828 4723.992
121.296 5.972 139211.42 310817.072 7780.64
53.804 3.632 97669.1189999999 211542.752 5160.604
