"folder","model","batch","selection","data","coala_model"
"data/iwm_sel","iwm",1,TRUE,"data/model_iwm.Rda","model_iwm_sel"
"data/iwm_sel_2","iwm",2,TRUE,"data/model_iwm_2.Rda","model_iwm_sel"
"data/iwm_neutr_1","iwm",1,FALSE,"data/model_iwm.Rda","model_iwm_neutr"
"data/iwm_neutr_2","iwm",2,FALSE,"data/model_iwm_2.Rda","model_iwm_neutr"
"data/bottleneck_sel","bottleneck",1,TRUE,"data/model_bottleneck.Rda","model_bn_sel"
"data/bottleneck_sel_2","bottleneck",2,TRUE,"data/model_bottleneck_2.Rda","model_bn_sel"
"data/bottleneck_neutr","bottleneck",1,FALSE,"data/model_bottleneck.Rda","model_bn_neutr"
"data/bottleneck_neutr_2","bottleneck",2,FALSE,"data/model_bottleneck_2.Rda","model_bn_neutr"
"data/growth_sel","growth",1,TRUE,"data/model_growth.Rda","model_growth_sel"
"data/growth_sel_2","growth",2,TRUE,"data/model_growth_2.Rda","model_growth_sel"
"data/growth_neutr","growth",1,FALSE,"data/model_growth.Rda","model_growth_neutr"
"data/growth_neutr_2","growth",2,FALSE,"data/model_growth_2.Rda","model_growth_neutr"
